dataset,policy,workers,total_jobs,total_simulation_time,average_waiting_time,average_turnaround_time,throughput,worker_utilization,starvation_risk_jobs
jobs_100,SJF,287,100,126,0.00,16.64,0.794,4.60,0
jobs_100,Priority,287,100,126,0.00,16.64,0.794,4.60,0
jobs_100,FIFO,288,100,126,0.00,16.64,0.794,4.59,0
jobs_100,SJF,288,100,126,0.00,16.64,0.794,4.59,0
jobs_100,Priority,288,100,126,0.00,16.64,0.794,4.59,0
jobs_100,FIFO,289,100,126,0.00,16.64,0.794,4.57,0
jobs_100,SJF,289,100,126,0.00,16.64,0.794,4.57,0
jobs_100,Priority,289,100,126,0.00,16.64,0.794,4.57,0
jobs_100,FIFO,290,100,126,0.00,16.64,0.794,4.55,0
jobs_100,SJF,290,100,126,0.00,16.64,0.794,4.55,0
jobs_100,Priority,290,100,126,0.00,16.64,0.794,4.55,0
jobs_100,FIFO,291,100,126,0.00,16.64,0.794,4.54,0
jobs_100,SJF,291,100,126,0.00,16.64,0.794,4.54,0
jobs_100,Priority,291,100,126,0.00,16.64,0.794,4.54,0
jobs_100,FIFO,292,100,126,0.00,16.64,0.794,4.52,0
jobs_100,SJF,292,100,126,0.00,16.64,0.794,4.52,0
jobs_100,Priority,292,100,126,0.00,16.64,0.794,4.52,0
jobs_100,FIFO,293,100,126,0.00,16.64,0.794,4.51,0
jobs_100,SJF,293,100,126,0.00,16.64,0.794,4.51,0
jobs_100,Priority,293,100,126,0.00,16.64,0.794,4.51,0
jobs_100,FIFO,294,100,126,0.00,16.64,0.794,4.49,0
jobs_100,SJF,294,100,126,0.00,16.64,0.794,4.49,0
jobs_100,Priority,294,100,126,0.00,16.64,0.794,4.49,0
jobs_100,FIFO,295,100,126,0.00,16.64,0.794,4.48,0
jobs_100,SJF,295,100,126,0.00,16.64,0.794,4.48,0
jobs_100,Priority,295,100,126,0.00,16.64,0.794,4.48,0
jobs_100,FIFO,296,100,126,0.00,16.64,0.794,4.46,0
jobs_100,SJF,296,100,126,0.00,16.64,0.794,4.46,0
jobs_100,Priority,296,100,126,0.00,16.64,0.794,4.46,0
jobs_100,FIFO,297,100,126,0.00,16.64,0.794,4.45,0
jobs_100,SJF,297,100,126,0.00,16.64,0.794,4.45,0
jobs_100,Priority,297,100,126,0.00,16.64,0.794,4.45,0
jobs_100,FIFO,298,100,126,0.00,16.64,0.794,4.43,0
jobs_100,SJF,298,100,126,0.00,16.64,0.794,4.43,0
jobs_100,Priority,298,100,126,0.00,16.64,0.794,4.43,0
jobs_100,FIFO,299,100,126,0.00,16.64,0.794,4.42,0
jobs_100,SJF,299,100,126,0.00,16.64,0.794,4.42,0
jobs_100,Priority,299,100,126,0.00,16.64,0.794,4.42,0
jobs_100,FIFO,300,100,126,0.00,16.64,0.794,4.40,0
jobs_100,SJF,300,100,126,0.00,16.64,0.794,4.40,0
jobs_100,Priority,300,100,126,0.00,16.64,0.794,4.40,0
jobs_1000,FIFO,200,1000,127,0.00,15.57,7.874,61.31,0
jobs_1000,SJF,200,1000,127,0.00,15.57,7.874,61.31,0
jobs_1000,Priority,200,1000,127,0.00,15.57,7.874,61.31,0
jobs_1000,FIFO,201,1000,127,0.00,15.57,7.874,61.01,0
jobs_1000,SJF,201,1000,127,0.00,15.57,7.874,61.01,0
jobs_1000,Priority,201,1000,127,0.00,15.57,7.874,61.01,0
jobs_1000,FIFO,202,1000,127,0.00,15.57,7.874,60.71,0
jobs_1000,SJF,202,1000,127,0.00,15.57,7.874,60.71,0
jobs_1000,Priority,202,1000,127,0.00,15.57,7.874,60.71,0
jobs_1000,FIFO,203,1000,127,0.00,15.57,7.874,60.41,0
jobs_1000,SJF,203,1000,127,0.00,15.57,7.874,60.41,0
jobs_1000,Priority,203,1000,127,0.00,15.57,7.874,60.41,0
jobs_1000,FIFO,204,1000,127,0.00,15.57,7.874,60.11,0
jobs_1000,SJF,204,1000,127,0.00,15.57,7.874,60.11,0
jobs_1000,Priority,204,1000,127,0.00,15.57,7.874,60.11,0
jobs_1000,FIFO,205,1000,127,0.00,15.57,7.874,59.82,0
jobs_1000,SJF,205,1000,127,0.00,15.57,7.874,59.82,0
jobs_1000,Priority,205,1000,127,0.00,15.57,7.874,59.82,0
jobs_1000,FIFO,206,1000,127,0.00,15.57,7.874,59.53,0
jobs_1000,SJF,206,1000,127,0.00,15.57,7.874,59.53,0
jobs_1000,Priority,206,1000,127,0.00,15.57,7.874,59.53,0
jobs_1000,FIFO,207,1000,127,0.00,15.57,7.874,59.24,0
jobs_1000,SJF,207,1000,127,0.00,15.57,7.874,59.24,0
jobs_1000,Priority,207,1000,127,0.00,15.57,7.874,59.24,0
jobs_1000,FIFO,208,1000,127,0.00,15.57,7.874,58.96,0
jobs_1000,SJF,208,1000,127,0.00,15.57,7.874,58.96,0
jobs_1000,Priority,208,1000,127,0.00,15.57,7.874,58.96,0
jobs_1000,FIFO,209,1000,127,0.00,15.57,7.874,58.67,0
jobs_1000,SJF,209,1000,127,0.00,15.57,7.874,58.67,0
jobs_1000,Priority,209,1000,127,0.00,15.57,7.874,58.67,0
jobs_1000,FIFO,210,1000,127,0.00,15.57,7.874,58.40,0
jobs_1000,SJF,210,1000,127,0.00,15.57,7.874,58.40,0
jobs_1000,Priority,210,1000,127,0.00,15.57,7.874,58.40,0
jobs_1000,FIFO,211,1000,127,0.00,15.57,7.874,58.12,0
jobs_1000,SJF,211,1000,127,0.00,15.57,7.874,58.12,0
jobs_1000,Priority,211,1000,127,0.00,15.57,7.874,58.12,0
jobs_1000,FIFO,212,1000,127,0.00,15.57,7.874,57.84,0
jobs_1000,SJF,212,1000,127,0.00,15.57,7.874,57.84,0
jobs_1000,Priority,212,1000,127,0.00,15.57,7.874,57.84,0
